id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0009987	cellular process	19	0.09	0.05	0.84	3.37
GO:0042730	fibrinolysis	1	1.00	0.90	9.63	252.90
GO:0050789	regulation of biological process	19	0.09	0.17	1.80	4.47
GO:0065009	regulation of molecular function	10	0.33	0.29	4.10	4.47
GO:0002685	regulation of leukocyte migration	1	0.56	0.63	8.17	50.83
GO:0042730	fibrinolysis	1	1.00	0.90	9.63	252.90
GO:0050789	regulation of biological process	19	0.09	0.17	1.80	4.47
GO:0065009	regulation of molecular function	10	0.33	0.29	4.10	4.47
GO:0002685	regulation of leukocyte migration	1	0.56	0.63	8.17	50.83
GO:0050896	response to stimulus	18	0.25	0.12	2.65	3.37
GO:0032502	developmental process	4	0.22	0.11	1.89	3.37
GO:0045184	establishment of protein localization	2	0.46	0.48	6.14	17.87
GO:0006006	glucose metabolic process	1	0.71	0.68	8.57	34.68
