id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0050794	regulation of cellular process	418	0.12	0.26	2.47	7.96
GO:0050794	regulation of cellular process	418	0.12	0.26	2.47	7.96
GO:0050794	regulation of cellular process	418	0.12	0.26	2.47	7.96
GO:0019222	regulation of metabolic process	242	0.21	0.30	3.39	7.96
GO:0051239	regulation of multicellular organismal process	135	0.23	0.32	3.68	7.96
GO:0048869	cellular developmental process	131	0.32	0.29	4.16	13.85
GO:0019538	protein metabolic process	129	0.31	0.41	4.91	44.77
GO:0070887	cellular response to chemical stimulus	97	0.40	0.40	5.31	25.21
GO:0050776	regulation of immune response	92	0.38	0.44	5.64	22.45
GO:0051049	regulation of transport	88	0.31	0.40	4.67	10.45
GO:0071310	cellular response to organic substance	86	0.44	0.47	5.95	41.66
GO:0010941	regulation of cell death	82	0.43	0.47	6.10	12.04
GO:0043207	response to external biotic stimulus	74	0.41	0.40	5.91	16.64
GO:2000145	regulation of cell motility	55	0.47	0.52	6.88	34.54
GO:0014070	response to organic cyclic compound	52	0.45	0.47	5.96	13.32
GO:0007186	G-protein coupled receptor signaling pathway	41	0.55	0.57	7.20	23.17
GO:0050900	leukocyte migration	41	0.60	0.59	8.02	26.94
GO:0002683	negative regulation of immune system process	34	0.43	0.47	5.92	22.69
GO:0051493	regulation of cytoskeleton organization	33	0.51	0.58	7.03	19.19
GO:0007010	cytoskeleton organization	31	0.52	0.51	6.76	18.35
GO:0006897	endocytosis	28	0.63	0.61	8.09	26.36
GO:0060326	cell chemotaxis	25	0.64	0.61	8.15	30.29
GO:0055085	transmembrane transport	23	0.41	0.46	5.44	10.99
GO:0120035	regulation of plasma membrane bounded cell projection organization	23	0.51	0.58	7.05	17.28
GO:0034765	regulation of ion transmembrane transport	22	0.46	0.55	6.68	33.04
GO:0001818	negative regulation of cytokine production	22	0.51	0.55	7.03	44.36
GO:0051260	protein homooligomerization	19	0.89	0.77	9.41	42.03
GO:1901653	cellular response to peptide	19	0.69	0.67	8.80	225.63
GO:0007204	positive regulation of cytosolic calcium ion concentration	16	0.68	0.77	9.10	290.30
GO:0050804	modulation of chemical synaptic transmission	14	0.52	0.58	7.24	27.32
GO:0019722	calcium-mediated signaling	12	0.72	0.71	8.71	27.81
GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	12	0.71	0.71	8.71	27.67
GO:0001666	response to hypoxia	12	0.81	0.70	9.12	21.16
GO:0000902	cell morphogenesis	11	0.63	0.56	7.92	43.26
GO:1903305	regulation of regulated secretory pathway	10	0.61	0.68	8.27	62.05
GO:0002712	regulation of B cell mediated immunity	10	0.59	0.65	8.36	46.32
GO:0030593	neutrophil chemotaxis	9	1.00	0.90	9.63	130.30
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	9	1.00	0.79	9.63	42.20
GO:0050877	nervous system process	9	0.55	0.47	6.42	9.78
GO:0010977	negative regulation of neuron projection development	8	0.68	0.73	9.14	494.13
GO:0008016	regulation of heart contraction	8	0.57	0.61	7.59	16.15
GO:0046718	viral entry into host cell	7	0.77	0.73	8.94	28.37
GO:0030182	neuron differentiation	7	0.58	0.54	7.21	21.07
GO:0001776	leukocyte homeostasis	7	0.75	0.67	8.65	18.82
GO:0070098	chemokine-mediated signaling pathway	6	0.73	0.72	9.00	30.19
GO:0007218	neuropeptide signaling pathway	6	0.93	0.79	9.49	26.98
GO:0010976	positive regulation of neuron projection development	6	0.68	0.73	9.14	493.19
GO:0001570	vasculogenesis	5	0.89	0.70	9.29	21.07
GO:0006006	glucose metabolic process	5	0.71	0.68	8.57	34.68
GO:0048013	ephrin receptor signaling pathway	5	1.00	0.88	9.63	31.00
GO:0099537	trans-synaptic signaling	5	0.63	0.60	8.02	19.88
GO:0007409	axonogenesis	5	0.69	0.72	8.67	64.61
GO:0002244	hematopoietic progenitor cell differentiation	5	0.81	0.66	8.94	21.07
GO:1903078	positive regulation of protein localization to plasma membrane	4	0.84	0.80	9.43	218.50
GO:0006605	protein targeting	4	0.72	0.76	9.18	93.44
GO:0001701	in utero embryonic development	4	1.00	0.85	9.63	22.50
GO:0033209	tumor necrosis factor-mediated signaling pathway	3	0.89	0.80	9.51	30.19
GO:0007342	fusion of sperm to egg plasma membrane involved in single fertilization	3	1.00	0.82	9.63	41.85
GO:0055007	cardiac muscle cell differentiation	3	0.79	0.72	9.07	45.92
GO:0016064	immunoglobulin mediated immune response	3	0.76	0.70	9.04	30.58
GO:0042053	regulation of dopamine metabolic process	3	0.83	0.76	9.45	57.43
GO:0038128	ERBB2 signaling pathway	3	0.87	0.83	9.37	32.39
GO:0051893	regulation of focal adhesion assembly	3	0.89	0.80	9.47	59.48
GO:0071480	cellular response to gamma radiation	3	1.00	0.85	9.63	60.40
GO:0046629	gamma-delta T cell activation	3	0.79	0.72	9.18	21.64
GO:0008344	adult locomotory behavior	3	0.84	0.62	9.16	24.58
GO:0140058	neuron projection arborization	2	0.84	0.80	9.42	64.61
GO:0043171	peptide catabolic process	2	0.72	0.68	8.97	139.84
GO:0099054	presynapse assembly	2	1.00	0.75	9.63	34.60
GO:0051290	protein heterotetramerization	2	1.00	0.85	9.63	85.45
GO:0008542	visual learning	2	1.00	0.88	9.63	51.66
GO:0097119	postsynaptic density protein 95 clustering	2	1.00	0.82	9.63	32.82
GO:0097105	presynaptic membrane assembly	2	1.00	0.79	9.63	57.45
GO:0097104	postsynaptic membrane assembly	2	1.00	0.79	9.63	57.45
GO:0022900	electron transport chain	2	0.71	0.61	8.48	29.76
GO:0031103	axon regeneration	2	0.84	0.77	9.43	96.51
GO:0008354	germ cell migration	2	0.93	0.76	9.51	40.54
GO:0007413	axonal fasciculation	2	0.89	0.80	9.45	31.51
GO:0042538	hyperosmotic salinity response	2	0.89	0.74	9.49	42.97
GO:0050667	homocysteine metabolic process	1	0.84	0.80	9.46	188.67
GO:0016264	gap junction assembly	1	1.00	0.82	9.63	56.14
GO:0097156	fasciculation of motor neuron axon	1	1.00	0.88	9.63	32.21
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	1	1.00	0.82	9.63	25.00
GO:0007286	spermatid development	1	1.00	0.79	9.63	72.78
GO:0035176	social behavior	1	1.00	0.70	9.63	22.58
GO:0086021	SA node cell to atrial cardiac muscle cell communication by electrical coupling	1	1.00	0.79	9.63	36.29
GO:0048739	cardiac muscle fiber development	1	1.00	0.85	9.63	104.20
GO:1905520	positive regulation of presynaptic active zone assembly	1	1.00	0.90	9.63	390.91
GO:0086053	AV node cell to bundle of His cell communication by electrical coupling	1	1.00	0.79	9.63	36.29
GO:0070474	positive regulation of uterine smooth muscle contraction	1	1.00	0.90	9.63	87.90
GO:0061002	negative regulation of dendritic spine morphogenesis	1	1.00	0.95	9.63	1979.51
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	1	1.00	0.79	9.63	23.39
GO:0002316	follicular B cell differentiation	1	1.00	0.90	9.63	149.81
GO:1902474	positive regulation of protein localization to synapse	1	0.93	0.79	9.49	25.48
GO:0086072	AV node cell-bundle of His cell adhesion involved in cell communication	1	1.00	0.82	9.63	24.26
GO:0097114	NMDA glutamate receptor clustering	1	1.00	0.88	9.63	45.88
GO:0097115	neurexin clustering involved in presynaptic membrane assembly	1	1.00	0.85	9.63	44.50
GO:0097113	AMPA glutamate receptor clustering	1	1.00	0.90	9.63	45.88
GO:0019227	neuronal action potential propagation	1	1.00	0.82	9.63	26.36
GO:0050966	detection of mechanical stimulus involved in sensory perception of pain	1	1.00	0.82	9.63	71.51
GO:1904861	excitatory synapse assembly	1	1.00	0.79	9.63	37.24
