Module	SS	value
M10.1	DF	95.24
M10.1	Ganesan	19.05
M10.1	LC	0.00
M10.1	PS	90.48
M10.1	Zhou	0.00
M10.1	Resnik	95.24
M10.1	Lin	90.48
M10.1	Nunivers	95.24
M10.1	AIC	66.67
M10.1	DAVID	95.23809523809523
M10.0	DF	90.91
M10.0	Ganesan	45.45
M10.0	LC	0.00
M10.0	PS	45.45
M10.0	Zhou	0.00
M10.0	Resnik	87.88
M10.0	Lin	90.91
M10.0	Nunivers	90.91
M10.0	AIC	24.24
M10.0	DAVID	72.72727272727273
M158.1	DF	84.62
M158.1	Ganesan	0.00
M158.1	LC	69.23
M158.1	PS	0.00
M158.1	Zhou	0.00
M158.1	Resnik	92.31
M158.1	Lin	84.62
M158.1	Nunivers	76.92
M158.1	AIC	92.31
M158.1	DAVID	69.23076923076923
M158.0	DF	75.00
M158.0	Ganesan	0.00
M158.0	LC	0.00
M158.0	PS	37.50
M158.0	Zhou	0.00
M158.0	Resnik	75.00
M158.0	Lin	68.75
M158.0	Nunivers	75.00
M158.0	AIC	75.00
M158.0	DAVID	62.5
M106.1	DF	36.36
M106.1	Ganesan	36.36
M106.1	LC	45.45
M106.1	PS	100.00
M106.1	Zhou	0.00
M106.1	Resnik	100.00
M106.1	Lin	90.91
M106.1	Nunivers	100.00
M106.1	AIC	36.36
M106.1	DAVID	100.0
M106.0	DF	100.00
M106.0	Ganesan	100.00
M106.0	LC	0.00
M106.0	PS	100.00
M106.0	Zhou	0.00
M106.0	Resnik	0.00
M106.0	Lin	100.00
M106.0	Nunivers	100.00
M106.0	AIC	100.00
M106.0	DAVID	100.0
M133.1	DF	81.82
M133.1	Ganesan	0.00
M133.1	LC	0.00
M133.1	PS	72.73
M133.1	Zhou	0.00
M133.1	Resnik	81.82
M133.1	Lin	81.82
M133.1	Nunivers	72.73
M133.1	AIC	0.00
M133.1	DAVID	72.72727272727273
M133.0	DF	64.29
M133.0	Ganesan	0.00
M133.0	LC	0.00
M133.0	PS	35.71
M133.0	Zhou	0.00
M133.0	Resnik	64.29
M133.0	Lin	50.00
M133.0	Nunivers	64.29
M133.0	AIC	0.00
M133.0	DAVID	71.42857142857143
M32.8	DF	70.00
M32.8	Ganesan	0.00
M32.8	LC	0.00
M32.8	PS	0.00
M32.8	Zhou	0.00
M32.8	Resnik	40.00
M32.8	Lin	0.00
M32.8	Nunivers	60.00
M32.8	AIC	70.00
M32.8	DAVID	70.0
M32.7	DF	0.00
M32.7	Ganesan	0.00
M32.7	LC	0.00
M32.7	PS	0.00
M32.7	Zhou	0.00
M32.7	Resnik	0.00
M32.7	Lin	0.00
M32.7	Nunivers	0.00
M32.7	AIC	0.00
M32.7	DAVID	100.0
M32.6	DF	0.00
M32.6	Ganesan	0.00
M32.6	LC	0.00
M32.6	PS	0.00
M32.6	Zhou	0.00
M32.6	Resnik	0.00
M32.6	Lin	0.00
M32.6	Nunivers	0.00
M32.6	AIC	0.00
M32.6	DAVID	100.0
M32.5	DF	0.00
M32.5	Ganesan	0.00
M32.5	LC	0.00
M32.5	PS	0.00
M32.5	Zhou	0.00
M32.5	Resnik	0.00
M32.5	Lin	0.00
M32.5	Nunivers	0.00
M32.5	AIC	0.00
M32.5	DAVID	0.0
M32.4	DF	53.33
M32.4	Ganesan	0.00
M32.4	LC	0.00
M32.4	PS	0.00
M32.4	Zhou	0.00
M32.4	Resnik	33.33
M32.4	Lin	33.33
M32.4	Nunivers	53.33
M32.4	AIC	53.33
M32.4	DAVID	53.333333333333336
M32.3	DF	70.59
M32.3	Ganesan	0.00
M32.3	LC	0.00
M32.3	PS	0.00
M32.3	Zhou	0.00
M32.3	Resnik	58.82
M32.3	Lin	64.71
M32.3	Nunivers	64.71
M32.3	AIC	70.59
M32.3	DAVID	35.294117647058826
M32.2	DF	70.00
M32.2	Ganesan	0.00
M32.2	LC	0.00
M32.2	PS	0.00
M32.2	Zhou	0.00
M32.2	Resnik	50.00
M32.2	Lin	50.00
M32.2	Nunivers	70.00
M32.2	AIC	70.00
M32.2	DAVID	50.0
M32.1	DF	80.95
M32.1	Ganesan	90.48
M32.1	LC	0.00
M32.1	PS	0.00
M32.1	Zhou	0.00
M32.1	Resnik	90.48
M32.1	Lin	80.95
M32.1	Nunivers	80.95
M32.1	AIC	85.71
M32.1	DAVID	76.19047619047619
M32.0	DF	86.96
M32.0	Ganesan	0.00
M32.0	LC	0.00
M32.0	PS	17.39
M32.0	Zhou	0.00
M32.0	Resnik	86.96
M32.0	Lin	86.96
M32.0	Nunivers	86.96
M32.0	AIC	86.96
M32.0	DAVID	78.26086956521739
M47.4	DF	45.45
M47.4	Ganesan	0.00
M47.4	LC	0.00
M47.4	PS	0.00
M47.4	Zhou	0.00
M47.4	Resnik	36.36
M47.4	Lin	0.00
M47.4	Nunivers	36.36
M47.4	AIC	0.00
M47.4	DAVID	27.27272727272727
M47.3	DF	75.00
M47.3	Ganesan	68.75
M47.3	LC	0.00
M47.3	PS	68.75
M47.3	Zhou	0.00
M47.3	Resnik	56.25
M47.3	Lin	75.00
M47.3	Nunivers	75.00
M47.3	AIC	75.00
M47.3	DAVID	50.0
M47.2	DF	48.65
M47.2	Ganesan	48.65
M47.2	LC	21.62
M47.2	PS	54.05
M47.2	Zhou	10.81
M47.2	Resnik	45.95
M47.2	Lin	48.65
M47.2	Nunivers	43.24
M47.2	AIC	48.65
M47.2	DAVID	48.64864864864865
M47.1	DF	69.77
M47.1	Ganesan	74.42
M47.1	LC	0.00
M47.1	PS	72.09
M47.1	Zhou	0.00
M47.1	Resnik	67.44
M47.1	Lin	58.14
M47.1	Nunivers	67.44
M47.1	AIC	72.09
M47.1	DAVID	53.48837209302325
M47.0	DF	64.15
M47.0	Ganesan	7.55
M47.0	LC	0.00
M47.0	PS	66.04
M47.0	Zhou	0.00
M47.0	Resnik	56.60
