Module	SS	Quartile	type	variable	value
M10.1	DF	Q0	terms	rep	36.734693877551024
M10.1	DF	Q0	genes	rep	100.0
M10.1	DF	Q1	terms	rep_inc	28.571428571428573
M10.1	DF	Q1	genes	rep_inc	100.0
M10.1	DF	Q2	terms	rep_inc	14.285714285714286
M10.1	DF	Q2	genes	rep_inc	95.0
M10.1	DF	Q3	terms	rep_inc	0.0
M10.1	DF	Q3	genes	rep_inc	0.0
M10.1	Ganesan	Q0	terms	rep	40.0
M10.1	Ganesan	Q0	genes	rep	100.0
M10.1	Ganesan	Q1	terms	rep_inc	4.0
M10.1	Ganesan	Q1	genes	rep_inc	20.0
M10.1	Ganesan	Q2	terms	rep_inc	0.0
M10.1	Ganesan	Q2	genes	rep_inc	0.0
M10.1	Ganesan	Q3	terms	rep_inc	0.0
M10.1	Ganesan	Q3	genes	rep_inc	0.0
M10.1	LC	Q0	terms	rep	100.0
M10.1	LC	Q0	genes	rep	100.0
M10.1	LC	Q1	terms	rep_inc	11.11111111111111
M10.1	LC	Q1	genes	rep_inc	15.0
M10.1	LC	Q2	terms	rep_inc	11.11111111111111
M10.1	LC	Q2	genes	rep_inc	15.0
M10.1	LC	Q3	terms	rep_inc	0.0
M10.1	LC	Q3	genes	rep_inc	0.0
M10.1	PS	Q0	terms	rep	41.37931034482759
M10.1	PS	Q0	genes	rep	100.0
M10.1	PS	Q1	terms	rep_inc	17.24137931034483
M10.1	PS	Q1	genes	rep_inc	95.0
M10.1	PS	Q2	terms	rep_inc	0.0
M10.1	PS	Q2	genes	rep_inc	0.0
M10.1	PS	Q3	terms	rep_inc	0.0
M10.1	PS	Q3	genes	rep_inc	0.0
M10.1	Zhou	Q0	terms	rep	100.0
M10.1	Zhou	Q0	genes	rep	100.0
M10.1	Zhou	Q1	terms	rep_inc	11.11111111111111
M10.1	Zhou	Q1	genes	rep_inc	15.0
M10.1	Zhou	Q2	terms	rep_inc	11.11111111111111
M10.1	Zhou	Q2	genes	rep_inc	15.0
M10.1	Zhou	Q3	terms	rep_inc	0.0
M10.1	Zhou	Q3	genes	rep_inc	0.0
M10.1	Resnik	Q0	terms	rep	58.064516129032256
M10.1	Resnik	Q0	genes	rep	100.0
M10.1	Resnik	Q1	terms	rep_inc	22.580645161290324
M10.1	Resnik	Q1	genes	rep_inc	100.0
M10.1	Resnik	Q2	terms	rep_inc	12.903225806451612
M10.1	Resnik	Q2	genes	rep_inc	80.0
M10.1	Resnik	Q3	terms	rep_inc	0.0
M10.1	Resnik	Q3	genes	rep_inc	0.0
M10.1	Lin	Q0	terms	rep	29.82456140350877
M10.1	Lin	Q0	genes	rep	100.0
M10.1	Lin	Q1	terms	rep_inc	14.035087719298245
M10.1	Lin	Q1	genes	rep_inc	95.0
M10.1	Lin	Q2	terms	rep_inc	8.771929824561404
M10.1	Lin	Q2	genes	rep_inc	75.0
M10.1	Lin	Q3	terms	rep_inc	1.7543859649122806
M10.1	Lin	Q3	genes	rep_inc	30.0
M10.1	Nunivers	Q0	terms	rep	26.153846153846153
M10.1	Nunivers	Q0	genes	rep	100.0
M10.1	Nunivers	Q1	terms	rep_inc	20.0
M10.1	Nunivers	Q1	genes	rep_inc	100.0
M10.1	Nunivers	Q2	terms	rep_inc	9.23076923076923
M10.1	Nunivers	Q2	genes	rep_inc	85.0
M10.1	Nunivers	Q3	terms	rep_inc	4.615384615384615
M10.1	Nunivers	Q3	genes	rep_inc	35.0
M10.1	AIC	Q0	terms	rep	54.285714285714285
M10.1	AIC	Q0	genes	rep	100.0
M10.1	AIC	Q1	terms	rep_inc	25.714285714285715
M10.1	AIC	Q1	genes	rep_inc	70.0
M10.1	AIC	Q2	terms	rep_inc	5.714285714285714
M10.1	AIC	Q2	genes	rep_inc	25.0
M10.1	AIC	Q3	terms	rep_inc	0.0
M10.1	AIC	Q3	genes	rep_inc	0.0
M10.1	DAVID	Q0	terms	rep	40.0
M10.1	DAVID	Q0	genes	rep	95.0
M10.1	DAVID	Q1	terms	rep_inc	35.0
M10.1	DAVID	Q1	genes	rep_inc	90.0
M10.1	DAVID	Q2	terms	rep_inc	15.0
M10.1	DAVID	Q2	genes	rep_inc	45.0
M10.1	DAVID	Q3	terms	rep_inc	10.0
