id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0050794	regulation of cellular process	3436	0.12	0.26	2.47	7.96
GO:0044237	cellular metabolic process	3256	0.16	0.21	2.71	13.80
GO:0048522	positive regulation of cellular process	1780	0.24	0.37	3.90	23.85
GO:0019538	protein metabolic process	1483	0.31	0.41	4.91	44.77
GO:0006351	transcription, DNA-templated	872	0.57	0.68	8.45	581.39
GO:0045893	positive regulation of transcription, DNA-templated	544	0.52	0.67	8.14	1208.12
GO:0051240	positive regulation of multicellular organismal process	532	0.35	0.42	4.98	23.60
GO:0030154	cell differentiation	457	0.39	0.39	5.18	16.68
GO:0045087	innate immune response	201	0.68	0.59	8.16	26.47
GO:0050852	T cell receptor signaling pathway	52	1.00	0.92	9.63	219.43
GO:0046635	positive regulation of alpha-beta T cell activation	34	0.70	0.74	9.18	251.90
GO:0072678	T cell migration	13	0.71	0.71	8.88	30.24
GO:2000737	negative regulation of stem cell differentiation	5	0.76	0.70	9.14	115.32
GO:0033147	negative regulation of intracellular estrogen receptor signaling pathway	4	1.00	0.88	9.63	234.24
