Module	SS	Quartile	type	variable	value
M6.4	DF	Q0	terms	rep	33.142857142857146
M6.4	DF	Q0	genes	rep	97.1830985915493
M6.4	DF	Q1	terms	rep_inc	28.571428571428573
M6.4	DF	Q1	genes	rep_inc	95.77464788732394
M6.4	DF	Q2	terms	rep_inc	15.428571428571429
M6.4	DF	Q2	genes	rep_inc	80.28169014084507
M6.4	DF	Q3	terms	rep_inc	4.571428571428571
M6.4	DF	Q3	genes	rep_inc	33.80281690140845
M6.4	Ganesan	Q0	terms	rep	31.137724550898202
M6.4	Ganesan	Q0	genes	rep	100.0
M6.4	Ganesan	Q1	terms	rep_inc	22.75449101796407
M6.4	Ganesan	Q1	genes	rep_inc	98.59154929577464
M6.4	Ganesan	Q2	terms	rep_inc	8.383233532934131
M6.4	Ganesan	Q2	genes	rep_inc	60.563380281690144
M6.4	Ganesan	Q3	terms	rep_inc	4.191616766467066
M6.4	Ganesan	Q3	genes	rep_inc	43.66197183098591
M6.4	LC	Q0	terms	rep	46.666666666666664
M6.4	LC	Q0	genes	rep	100.0
M6.4	LC	Q1	terms	rep_inc	0.0
M6.4	LC	Q1	genes	rep_inc	0.0
M6.4	LC	Q2	terms	rep_inc	0.0
M6.4	LC	Q2	genes	rep_inc	0.0
M6.4	LC	Q3	terms	rep_inc	0.0
M6.4	LC	Q3	genes	rep_inc	0.0
M6.4	PS	Q0	terms	rep	34.146341463414636
M6.4	PS	Q0	genes	rep	100.0
M6.4	PS	Q1	terms	rep_inc	16.260162601626018
M6.4	PS	Q1	genes	rep_inc	92.95774647887323
M6.4	PS	Q2	terms	rep_inc	3.252032520325203
M6.4	PS	Q2	genes	rep_inc	46.478873239436616
M6.4	PS	Q3	terms	rep_inc	0.8130081300813008
M6.4	PS	Q3	genes	rep_inc	4.225352112676056
M6.4	Zhou	Q0	terms	rep	55.55555555555556
M6.4	Zhou	Q0	genes	rep	100.0
M6.4	Zhou	Q1	terms	rep_inc	0.0
M6.4	Zhou	Q1	genes	rep_inc	0.0
M6.4	Zhou	Q2	terms	rep_inc	0.0
M6.4	Zhou	Q2	genes	rep_inc	0.0
M6.4	Zhou	Q3	terms	rep_inc	0.0
M6.4	Zhou	Q3	genes	rep_inc	0.0
M6.4	Resnik	Q0	terms	rep	48.026315789473685
M6.4	Resnik	Q0	genes	rep	97.1830985915493
M6.4	Resnik	Q1	terms	rep_inc	35.526315789473685
M6.4	Resnik	Q1	genes	rep_inc	97.1830985915493
M6.4	Resnik	Q2	terms	rep_inc	17.105263157894736
M6.4	Resnik	Q2	genes	rep_inc	71.83098591549296
M6.4	Resnik	Q3	terms	rep_inc	6.578947368421052
M6.4	Resnik	Q3	genes	rep_inc	36.61971830985915
M6.4	Lin	Q0	terms	rep	44.927536231884055
M6.4	Lin	Q0	genes	rep	98.59154929577464
M6.4	Lin	Q1	terms	rep_inc	28.985507246376812
M6.4	Lin	Q1	genes	rep_inc	94.36619718309859
M6.4	Lin	Q2	terms	rep_inc	13.043478260869565
M6.4	Lin	Q2	genes	rep_inc	56.33802816901409
M6.4	Lin	Q3	terms	rep_inc	2.898550724637681
M6.4	Lin	Q3	genes	rep_inc	35.2112676056338
M6.4	Nunivers	Q0	terms	rep	33.5195530726257
M6.4	Nunivers	Q0	genes	rep	97.1830985915493
M6.4	Nunivers	Q1	terms	rep_inc	29.608938547486034
M6.4	Nunivers	Q1	genes	rep_inc	94.36619718309859
M6.4	Nunivers	Q2	terms	rep_inc	16.201117318435752
M6.4	Nunivers	Q2	genes	rep_inc	70.4225352112676
M6.4	Nunivers	Q3	terms	rep_inc	6.70391061452514
M6.4	Nunivers	Q3	genes	rep_inc	47.88732394366197
M6.4	AIC	Q0	terms	rep	34.48275862068966
M6.4	AIC	Q0	genes	rep	95.77464788732394
M6.4	AIC	Q1	terms	rep_inc	30.45977011494253
M6.4	AIC	Q1	genes	rep_inc	94.36619718309859
M6.4	AIC	Q2	terms	rep_inc	17.24137931034483
M6.4	AIC	Q2	genes	rep_inc	80.28169014084507
M6.4	AIC	Q3	terms	rep_inc	4.597701149425287
M6.4	AIC	Q3	genes	rep_inc	33.80281690140845
M6.4	DAVID	Q0	terms	rep	37.93103448275862
M6.4	DAVID	Q0	genes	rep	53.521126760563384
M6.4	DAVID	Q1	terms	rep_inc	31.03448275862069
M6.4	DAVID	Q1	genes	rep_inc	45.070422535211264
