"Category"	"Term"	"Count"	"X."	"PValue"	"Genes"	"List.Total"	"Pop.Hits"	"Pop.Total"	"Fold.Enrichment"	"Bonferroni"	"Benjamini"	"FDR"
"GOTERM_BP_DIRECT"	"GO:0051301~cell division"	10	31.25	6.51709286595513e-09	"TACC3, NUF2, CDCA5, CDC20, KIF11, NDC80, FBXO5, MAD2L1, CDK1, CDCA7"	31	350	16792	15.4764976958525	1.86388682854588e-06	1.86388682854588e-06	8.64531463085072e-06
"GOTERM_BP_DIRECT"	"GO:0007062~sister chromatid cohesion"	7	21.875	2.42265658316514e-08	"NUF2, CDCA5, CDC20, CENPK, NDC80, CENPM, MAD2L1"	31	103	16792	36.8130284998434	6.92877391716973e-06	3.46439295961787e-06	3.21379894141494e-05
"GOTERM_BP_DIRECT"	"GO:0007067~mitotic nuclear division"	8	25	2.14560116826331e-07	"CEP55, NUF2, CDCA5, CDC20, KIF11, NDC80, FBXO5, CDK1"	31	248	16792	17.4734651404787	6.13623172395217e-05	2.04545241312415e-05	0.000284626502655705
"GOTERM_BP_DIRECT"	"GO:0000082~G1/S transition of mitotic cell cycle"	6	18.75	9.46261718679035e-07	"MCM6, CDCA5, TYMS, RRM2, FBXO5, CDK1"	31	102	16792	31.8633776091082	0.000270594362317134	6.76554561607201e-05	0.00125526569905166
"GOTERM_BP_DIRECT"	"GO:0000083~regulation of transcription involved in G1/S transition of mitotic cell cycle"	4	12.5	8.89583414355357e-06	"TYMS, RRM2, FBXO5, CDK1"	31	23	16792	94.2047685834502	0.00254098609721309	0.000508714537169275	0.0118002143098428
"GOTERM_BP_DIRECT"	"GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process"	5	15.625	0.000150998726021747	"RNF144A, CDC20, UHRF1, MAD2L1, CDK1"	31	153	16792	17.7018764495045	0.0422695389131129	0.00717230478062758	0.200123486187342
"GOTERM_BP_DIRECT"	"GO:0007059~chromosome segregation"	4	12.5	0.000238446883552261	"NUF2, KIF11, NDC80, TOP2A"	31	68	16792	31.8633776091082	0.0659300405693067	0.00969610674722898	0.315851960379843
"GOTERM_BP_DIRECT"	"GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	4	12.5	0.000270957139076355	"CDC20, FBXO5, MAD2L1, CDK1"	31	71	16792	30.5170377101318	0.0745769016395719	0.0096412525195847	0.358844228356081
"GOTERM_BP_DIRECT"	"GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition"	4	12.5	0.000331273932341198	"CDC20, FBXO5, MAD2L1, CDK1"	31	76	16792	28.509337860781	0.090408827385282	0.0104736587005326	0.438563058284991
"GOTERM_BP_DIRECT"	"GO:0008283~cell proliferation"	6	18.75	0.000435402793113304	"TACC3, MELK, TYMS, UHRF1, ZEB1, CDK1"	31	366	16792	8.87995769434162	0.117107929233704	0.0123779862395931	0.576048168198551
"GOTERM_BP_DIRECT"	"GO:0051439~regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	3	9.375	0.000762649867847014	"CDC20, FBXO5, CDK1"	31	23	16792	70.6535764375877	0.196036234251844	0.0196410135242467	1.0069824585058
